sample_rate_hz,frequency_hz,analog_magnitude_db,measured_magnitude_db,legacy_analog_magnitude_db,analog_phase_deg,measured_phase_deg,magnitude_error_db,phase_error_deg
96000,20,-0.0011777671796,-0.00117567745309,-3.20324004205e-06,0.878068941846,0.877946052556,2.08972650676e-06,-0.000122889289338
96000,22,-0.000974883851325,-0.000976095771096,-3.87592017008e-06,0.786062233662,0.78615366478,-1.2119197728e-06,9.14311181419e-05
96000,24,-0.000820842847953,-0.000819232257823,-4.61266496138e-06,0.708322340767,0.708252664161,1.6105901309e-06,-6.96766063262e-05
96000,26,-0.000701236551657,-0.00070187903713,-5.41347438598e-06,0.641557722748,0.641611876844,-6.42485474166e-07,5.41540957999e-05
96000,28,-0.000606610336186,-0.000605225979207,-6.27834840662e-06,0.583417023573,0.583374214342,1.38435697709e-06,-4.28092312535e-05
96000,31,-0.000498031027535,-0.000492759280305,-7.69578048483e-06,0.508725196057,0.508729949469,5.27174723092e-06,4.75341204701e-06
96000,34,-0.000417515397333,-0.000417390221159,-9.25735769746e-06,0.445522105087,0.445544945332,1.25176172965e-07,2.28402451826e-05
96000,37,-0.000356397948508,-0.00035817159096,-1.09630799034e-05,0.391013532897,0.391010343803,-1.77364245275e-06,-3.18909438697e-06
96000,40,-0.000309134981968,-0.00030774882984,-1.28129469357e-05,0.343243414297,0.343230152313,1.38615212831e-06,-1.3261983961e-05
96000,44,-0.000261484037288,-0.000259974613294,-1.55036613091e-05,0.287649885375,0.287640354895,1.50942399333e-06,-9.53048065472e-06
96000,47,-0.000234176846031,-0.000231676967965,-1.76898655923e-05,0.250737260034,0.250739029675,2.49987806585e-06,1.76964104875e-06
96000,52,-0.000200100737932,-0.000198231833253,-2.16538597504e-05,0.196223706961,0.196218524566,1.8689046782e-06,-5.1823950166e-06
96000,56,-0.000180400622365,-0.00017830531347,-2.51133427985e-05,0.157568233955,0.157564346604,2.0953088949e-06,-3.88735119253e-06
96000,61,-0.000162577504002,-0.000160702822773,-2.97980553302e-05,0.114021549296,0.114020692871,1.87468123185e-06,-8.56425132507e-07
96000,67,-0.000148494059051,-0.000145462956211,-3.59482348752e-05,0.0671983475815,0.0671989493901,3.03110283904e-06,6.01808607216e-07
96000,73,-0.000140215988692,-0.000137117065758,-4.26749844446e-05,0.0249217164077,0.0249212641026,3.098922934e-06,-4.52305111613e-07
96000,80,-0.000135939053263,-0.000131964372007,-5.12515760396e-05,-0.020019373201,-0.0200200644453,3.97468125664e-06,-6.91244344322e-07
96000,87,-0.000136034180451,-0.000131332287472,-6.06129357504e-05,-0.0613264869143,-0.0613263473633,4.70189298051e-06,1.39550992984e-07
96000,95,-0.000140257965786,-0.000134700904736,-7.22725670125e-05,-0.105115285591,-0.105115255647,5.55706105067e-06,2.99448511436e-08
96000,103,-0.000147973309879,-0.000141470450091,-8.49571876205e-05,-0.146071207177,-0.146071263028,6.50285978763e-06,-5.58506698219e-08
